# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	808455
#@/user_id	Mac
a 	呵	c=1 d=6.84827e-282 t=808443
a 	啊	c=3381 d=0.6652 t=808443
a 	嗄	c=1 d=1.11147e-08 t=808443
a 	腌	c=1 d=0 t=808443
a 	阿	c=229 d=2.13937e-06 t=808443
a ba 	阿壩	c=1 d=9.7003e-231 t=808443
a ba ba 	啊吧吧	c=1 d=3.11607e-136 t=808443
a bei ni 	啊被你	c=0 d=0 t=808443
a bei ni gong shi 	啊被你共識	c=1 d=0 t=808443
a bo luo 	阿波羅	c=1 d=2.25813e-259 t=808443
a cong zuo 	啊從左	c=1 d=0 t=808443
a dan 	阿丹	c=0 d=1.34002e-62 t=808443
a de 	阿德	c=-1 d=0 t=808443
a er 	阿爾	c=2 d=3.14809e-67 t=808443
a fan 	阿饭	c=1 d=0 t=808443
a fei 	阿飛	c=1 d=0 t=808443
a gou 	阿狗	c=0 d=0 t=808443
a hen 	啊很	c=1 d=0 t=808443
a hong 	阿訇	c=0 d=0 t=808443
a jia 	阿伽	c=1 d=1.74491e-20 t=808443
a ka li 	阿卡丽	c=2 d=1.19256e-248 t=808443
a kui na 	阿奎納	c=8 d=2.06207e-73 t=808443
a kui na guo 	阿奎納過	c=1 d=0 t=808443
a kui na ke neng 	阿奎納可能	c=3 d=2.44871e-271 t=808443
a kui na qi lai 	阿奎納起來	c=1 d=0 t=808443
a la bo 	阿拉伯	c=1 d=0 t=808443
a li 	阿离	c=31 d=0.752015 t=808443
a li 	阿里	c=63 d=0.95677 t=808443
a li ba ba 	阿里巴巴	c=1 d=0 t=808443
a li wang 	阿里網	c=1 d=0 t=808443
a li yun 	阿离雲	c=-3 d=0 t=808443
a li yun 	阿里雲	c=40 d=9.47081e-24 t=808443
a li yun pan 	阿里雲盤	c=1 d=1 t=805725
a ma ma 	啊嘛嘛	c=1 d=0 t=808443
a mao a gou 	阿貓阿狗	c=1 d=2.73138e-174 t=808443
a mi 	阿彌	c=2 d=1.40419e-23 t=808443
a mo 	啊墨	c=1 d=4.31742e-90 t=808443
a nu 	啊奴	c=0 d=1.00116e-44 t=808443
a nuan 	啊暖	c=2 d=1.91491e-143 t=808443
a pa pa 	阿帕帕	c=3 d=1.04796e-51 t=808443
a pi 	阿皮	c=0 d=0 t=808443
a pi lie 	阿皮列	c=1 d=0 t=808443
a po 	啊婆	c=2 d=0 t=808443
a pu 	阿谱	c=0 d=0 t=808443
a pu li ya 	阿谱利亞	c=3 d=1.8839e-245 t=808443
a qing 	阿庆	c=3 d=0 t=808443
a san 	阿三	c=1 d=0 t=808443
a shi 	阿市	c=1 d=1.94681e-14 t=808443
a song 	阿松	c=1 d=0 t=808443
a su da shui de 	啊蘇打水的	c=1 d=0 t=808443
a wei 	阿伟	c=1 d=1.94563e-95 t=808443
a wei niao 	阿喂鸟	c=2 d=3.53767e-135 t=808443
a yi 	阿姨	c=94 d=3.06799e-12 t=808443
a yi 	阿義	c=-1 d=0 t=808443
a yo 	啊唷	c=1 d=2.12728e-293 t=808443
a zu 	阿祖	c=1 d=0 t=808443
ai 	哎	c=29 d=0.612626 t=808443
ai 	唉	c=3 d=1.35194e-56 t=808443
ai 	愛	c=268 d=0.00775048 t=808443
ai 	捱	c=28 d=6.38388e-15 t=808443
ai 	癌	c=2 d=0.000385874 t=808443
ai 	矮	c=11 d=6.73866e-63 t=808443
ai 	艾	c=65 d=1.50334e-61 t=808443
ai a hou 	愛啊後	c=1 d=0 t=808443
ai bi 	艾彼	c=0 d=0 t=808443
ai bu ai 	愛不愛	c=1 d=0 t=808443
ai cao 	艾草	c=1 d=2.07476e-292 t=808443
ai cheng 	愛稱	c=1 d=0 t=808443
ai chi 	愛喫	c=6 d=5.16889e-90 t=808443
ai da 	捱打	c=13 d=9.40133e-10 t=808443
ai da bu li 	愛答不理	c=1 d=3.38765e-31 t=808443
ai dao de 	挨刀的	c=3 d=2.45588e-276 t=808443
ai de 	愛的	c=2 d=1.23154e-09 t=808443
ai de se fang 	爱的色放	c=-1 d=0 t=808443
ai ding bao 	愛丁堡	c=2 d=1.31604e-25 t=808443
ai dou 	挨鬥	c=1 d=0 t=808443
ai duo 	愛多	c=1 d=0 t=808443
ai e 	捱餓	c=1 d=2.20527e-10 t=808443
ai er 	艾爾	c=2 d=7.23303e-239 t=808443
ai er deng 	埃尔登	c=6 d=4.48487e-113 t=808443
ai er deng 	艾爾登	c=3 d=1.4929e-126 t=808443
ai er deng huan 	埃尔登環	c=1 d=1.43682e-293 t=808443
ai gan jing 	愛乾淨	c=1 d=8.08197e-172 t=808443
ai ge 	挨個	c=1 d=0 t=808443
ai guo 	愛國	c=2 d=1.05687e-180 t=808443
ai guo 	愛過	c=1 d=1 t=807848
ai hao 	愛好	c=35 d=3.2175e-13 t=808443
ai hao zhe 	愛好者	c=2 d=0 t=808443
ai he 	愛喝	c=1 d=0 t=808443
ai he 	愛河	c=2 d=6.59486e-140 t=808443
ai hu 	愛護	c=1 d=0 t=808443
ai hui shou 	愛回收	c=1 d=2.00434e-180 t=808443
ai ji 	埃及	c=1 d=5.46894e-48 t=808443
ai kan 	愛看	c=1 d=0 t=808443
ai kan kan 	餲堪堪	c=2 d=0 t=808443
ai ke 	艾克	c=1 d=1.14877e-249 t=808443
ai le 	愛了	c=3 d=1.36129e-11 t=808443
ai le 	矮了	c=1 d=0 t=808443
ai li bu li 	愛理不理	c=3 d=1.94548e-06 t=808443
ai lin 	艾琳	c=2 d=0 t=808443
ai lu 	艾路	c=3 d=6.68113e-21 t=808443
ai lun 	艾倫	c=1 d=0 t=808443
ai ma 	愛瑪	c=2 d=0.0275984 t=808443
ai ma 	捱罵	c=4 d=1.36085e-155 t=808443
ai ma 	艾瑪	c=4 d=2.97695e-275 t=808443
ai ma ren 	捱罵人	c=1 d=1.36766e-154 t=808443
ai mei 	愛美	c=3 d=0 t=808443
ai mei 	暧昧	c=3 d=0 t=808443
ai mo neng zhu 	愛莫能助	c=2 d=1.68512e-51 t=808443
ai ni 	愛你	c=13 d=0.0115699 t=808443
ai ni yo 	愛你喲	c=1 d=0 t=808443
ai ou ni ya 	艾欧尼亚	c=2 d=7.35126e-116 t=808443
ai qi yi 	愛奇藝	c=8 d=1.0563e-56 t=808443
ai qing 	愛情	c=27 d=1.01959 t=808443
ai qing gu shi 	愛情故事	c=1 d=1.6996e-269 t=808443
ai qing jiu xiang 	愛情就像	c=1 d=4.20322e-10 t=808443
ai qing pian 	愛情片	c=3 d=2.00842e-57 t=808443
ai qing shen hua 	爱情神话	c=1 d=0 t=808443
ai ru chao shui 	爱如潮水	c=8 d=2.69763e-20 t=808443
ai shang 	愛上	c=3 d=1.18168e-09 t=808443
ai shang wo 	愛上我	c=2 d=2.40092e-10 t=808443
ai shei shei 	爱谁谁	c=1 d=7.37853e-42 t=808443
ai shi 	礙事	c=2 d=0 t=808443
ai shuo 	愛說	c=0 d=0 t=808443
ai shuo bu shuo 	愛說不說	c=1 d=0 t=808443
ai te 	爱特	c=2 d=1.61406e-191 t=808443
ai te 	艾特	c=5 d=1.36412e-06 t=808443
ai ting 	愛聽	c=2 d=7.3318e-174 t=808443
ai wan 	愛玩	c=2 d=1.41836e-141 t=808443
ai wo 	愛我	c=1 d=0 t=808443
