# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	148898
#@/user_id	Mac
B zhan 	B站	c=1 d=1 t=103033
G 	G	c=1 d=1 t=135099
L P R 	LPR	c=1 d=1 t=26174
M 	M	c=0 d=0.1 t=127388
a 	啊	c=331 d=0.416985 t=148898
a 	阿	c=10 d=1 t=34907
a di 	阿迪	c=1 d=1 t=70945
a er fa 	阿尔法	c=2 d=1 t=127284
a gen ting 	阿根廷	c=1 d=1 t=13219
a gu duo 	阿古朵	c=1 d=1 t=125679
a li 	阿里	c=71 d=1.00024 t=143362
a li yun 	阿里云	c=15 d=1.97045 t=146468
a li yun pan 	阿里云盘	c=6 d=1 t=109763
a san 	阿三	c=1 d=1 t=103064
a xi ba 	阿西吧	c=1 d=1 t=11745
a yi 	阿姨	c=16 d=0.313486 t=148898
a zhen 	阿珍	c=1 d=1 t=877
a zi 	阿紫	c=1 d=1 t=23281
ai 	哎	c=5 d=1 t=94212
ai 	爱	c=22 d=1 t=136346
ai 	艾	c=3 d=1.50916 t=60785
ai chi bu chi 	爱吃不吃	c=1 d=1 t=108780
ai da 	挨打	c=4 d=1 t=118436
ai e 	挨饿	c=1 d=1 t=15459
ai er deng 	艾尔登	c=1 d=1 t=142801
ai guo 	爱国	c=2 d=1 t=73639
ai guo qing huai 	爱国情怀	c=1 d=1 t=73633
ai hao zhe 	爱好者	c=1 d=1 t=94989
ai ji 	埃及	c=9 d=1.9212 t=92577
ai kai 	爱开	c=1 d=1 t=107502
ai kan 	爱看	c=0 d=0.1 t=133838
ai lu 	艾璐	c=2 d=1 t=126237
ai lu 	艾露	c=-1 d=1 t=97589
ai miao 	爱苗	c=0 d=0.1 t=19155
ai ni 	爱你	c=2 d=1.65377 t=59033
ai qi yi 	爱奇艺	c=5 d=1 t=137544
ai shou 	碍手	c=1 d=1 t=14906
ai si ka nuo 	艾斯卡诺	c=2 d=1 t=99132
ai wei er 	艾薇儿	c=1 d=1 t=107291
ai ya 	哎呀	c=2 d=1 t=126067
ai yan 	碍眼	c=1 d=1 t=48337
ai yong 	爱用	c=1 d=1 t=44726
ai zheng 	癌症	c=1 d=1 t=24376
ai zong 	艾总	c=6 d=1 t=117461
ai zou 	挨揍	c=2 d=1.00002 t=10265
an 	安	c=25 d=1 t=138106
an 	按	c=83 d=0.240508 t=148898
an 	暗	c=6 d=1 t=115297
an an fen fen 	安安分分	c=1 d=1 t=70163
an an wen wen 	安安稳稳	c=1 d=1 t=105326
an bian 	岸边	c=1 d=1 t=100999
an bu zhun 	按不准	c=1 d=1 t=145265
an cuo 	按错	c=3 d=1.93707 t=145290
an fang 	安防	c=1 d=1 t=77057
an hao 	暗号	c=3 d=2.93208 t=31479
an hei lei 	暗黑类	c=1 d=1 t=140753
an jian 	按键	c=28 d=1.00072 t=145281
an jing 	安静	c=1 d=1 t=129955
an jing yi dian 	安静一点	c=1 d=1 t=1925
an kai 	按开	c=1 d=1 t=106055
an le 	暗了	c=1 d=1 t=17155
an li 	案例	c=3 d=1 t=95290
an niu 	按钮	c=6 d=1 t=97494
an pai 	安排	c=11 d=0.444858 t=148898
an qi la 	安其拉	c=-2 d=1.9802 t=104293
an qi la 	安琪拉	c=2 d=1.89137 t=104344
an qi lai 	按起来	c=1 d=1 t=14225
an quan 	安全	c=10 d=1 t=146627
an quan sheng 	安全绳	c=1 d=1 t=17317
an quan xing 	安全性	c=2 d=1 t=120051
an se 	暗色	c=1 d=1 t=142281
an shi 	按时	c=2 d=1 t=74785
an wei 	安慰	c=5 d=0.726149 t=148898
an xia 	按下	c=2 d=1 t=120943
an xia lai 	暗下来	c=1 d=1 t=50666
an xin 	安心	c=1 d=1 t=8990
an xu 	按需	c=1 d=1 t=32633
an ya 	按压	c=1 d=1 t=130469
an ying 	暗影	c=1 d=1 t=121267
an zhao 	按照	c=6 d=1 t=139635
an zhe 	按着	c=1 d=1 t=145162
an zhu 	按住	c=3 d=1.82283 t=147782
an zhuang 	安装	c=99 d=1.00115 t=146243
an zhuang bao 	安装包	c=1 d=1 t=131620
an zhuang fei 	安装费	c=2 d=1.8311 t=117846
an zhuo 	安卓	c=33 d=1 t=141069
an zi 	案子	c=1 d=1 t=139851
ao 	奥	c=1 d=1 t=106307
ao ao 	嗷嗷	c=2 d=1 t=132618
ao ao jiao 	嗷嗷叫	c=2 d=1 t=114245
ao bu dao 	熬不到	c=1 d=1 t=112517
ao da li ya 	澳大利亚	c=1 d=1 t=55835
ao de zhu 	熬得住	c=1 d=1 t=6291
ao gu 	傲骨	c=2 d=2.08806 t=9568
ao gu jia ren 	傲骨家人	c=1 d=1 t=9565
ao li ao 	奥利奥	c=1 d=1 t=11594
ao nao 	懊恼	c=1 d=1 t=93841
ao shi ti 	奥氏体	c=1 d=1 t=2492
ao te man 	奥特曼	c=1 d=1 t=64371
ao ye 	熬夜	c=3 d=1 t=123591
ba 	八	c=1 d=1 t=129661
ba 	吧	c=795 d=2.82557 t=148898
ba 	巴	c=2 d=1 t=130857
ba 	把	c=231 d=1.41322 t=148898
ba 	霸	c=8 d=1.00052 t=41056
ba ba 	爸爸	c=5 d=1 t=118565
ba ba 	粑粑	c=19 d=1.01616 t=148175
ba ba gan 	粑粑柑	c=2 d=1 t=91750
ba bi 	芭比	c=1 d=1 t=126864
ba cha tou 	拔插头	c=1 d=1 t=127921
ba dao 	霸道	c=1 d=1 t=112518
ba diao 	拔掉	c=2 d=1 t=53551
ba duan jin 	八段锦	c=1 d=1 t=59200
